HighSchool,Count,HSGPA,ColGPA,difGPA
"Saint Louis De Gonzague",2,3.84,3.90,-0.06
"Dwight D Eisenhower High Schoo",1,3.94,3.88,0.06
"Bowling Green High School     ",1,4.00,3.88,0.12
"Muscle Shoals High School     ",1,4.00,3.88,0.12
"Girls Preparatory School",3,3.56,3.83,-0.28
"Canyon Crest Academy",1,3.92,3.83,0.09
"Riverdale Baptist School",1,3.95,3.81,0.14
"International Sch Of Choueifat",1,3.93,3.81,0.12
"Loganville High School        ",1,3.16,3.80,-0.64
"Archangel School",1,3.70,3.80,-0.10
"Sachem High School East",1,3.70,3.79,-0.09
"Gateway Christian Academy",1,3.53,3.79,-0.26
"Gadsden High School           ",1,4.00,3.79,0.21
"Hononegah Comm High School",1,4.00,3.79,0.21
"Glen Allen High School",1,3.94,3.79,0.15
"Nativity Bvm High School",1,0.00,3.79,-3.79
"British West Indies Collegiate",1,3.11,3.79,-0.68
"John S Battle High School     ",2,3.84,3.78,0.06
"Arabia Mountain High School",1,3.82,3.76,0.06
"Liberty University Online Acad",2,3.71,3.76,-0.04
"Christ Our Rock Lutheran Hs",1,3.66,3.75,-0.09
"Miyamura High School",1,4.00,3.75,0.25
"Wilmington High School",1,4.00,3.75,0.25
"Benjamin Franklin High School ",1,3.15,3.75,-0.60
"Mt Airy High School           ",1,4.00,3.75,0.25
"Alpha Omega Academy",1,3.65,3.75,-0.10
"Career Magnet Academy",1,3.32,3.75,-0.43
"Ivy Academy",2,3.84,3.74,0.11
"Ministry Of Education",2,3.68,3.74,-0.06
"Union City High School",2,4.00,3.73,0.27
"Fayette Academy",1,4.00,3.73,0.27
"North Oconee High School",1,4.00,3.73,0.27
"Bonny Eagle High School       ",1,3.92,3.73,0.19
"Kettle Moraine High School    ",1,4.00,3.73,0.27
"James Buchanan High School",1,4.00,3.73,0.27
"Westview High School",1,4.00,3.73,0.27
"Campion College",1,3.90,3.73,0.17
"Delhi Public School",1,4.00,3.73,0.27
"Phan Boi Chau HS for Gifted",1,4.00,3.73,0.27
"McKenzie High School",2,3.84,3.72,0.12
"Hampshire Unit School",1,3.97,3.71,0.26
"Southwest Dekalb              ",1,3.41,3.71,-0.30
"Porter RIdge High School      ",1,2.95,3.71,-0.76
"Lambert High School",1,3.93,3.71,0.22
"South Paulding High School",1,3.72,3.71,0.01
"First Assembly Christian Sch",1,4.00,3.71,0.29
"North Marion High School      ",1,3.68,3.71,-0.03
"American Heritage Sch Plantatn",1,3.82,3.71,0.11
"Baldwyn High School           ",1,4.00,3.71,0.29
"Franklin County High School   ",1,4.00,3.71,0.29
"Rockvale High School          ",1,3.75,3.71,0.04
"Madison Academy",1,3.18,3.71,-0.53
"Dahlske Videregaende Skole",2,3.78,3.71,0.07
"Rabun Gap-Nacoochee High Schoo",1,3.70,3.71,-0.01
"Eaton High School",1,3.95,3.71,0.24
"Covenant Academy",5,3.77,3.70,0.07
"Dayspring Academy",3,3.76,3.70,0.06
"Concord Christian School",2,4.00,3.70,0.30
"Branson High School           ",1,1.33,3.69,-2.36
"Allatoona High School",1,3.83,3.69,0.14
"Tapasya Integrated School",1,2.90,3.69,-0.79
"Family Christian Academy",5,3.80,3.68,0.12
"Decatur High School           ",2,3.87,3.67,0.20
"Patriot High School",1,4.00,3.67,0.33
"Escuela Cristiana Bilingue Sun",1,3.80,3.67,0.13
"Incheon Daegeon High School",1,3.92,3.66,0.26
"Clayton-Bradley Academy",3,4.00,3.64,0.36
"Apalachee High School",2,3.65,3.64,0.00
"Richard Hardy Memorial School",5,3.68,3.64,0.05
"Gloucester Catholic High Schoo",1,3.63,3.64,-0.01
"Heritage Christian Academy",17,3.89,3.63,0.25
"Providence Academy",4,3.93,3.63,0.29
"Athens High School            ",1,3.86,3.63,0.23
"Kirtland High School",1,3.27,3.63,-0.36
"Craigmont High School",1,4.00,3.63,0.37
"Scoil Mhuire Trim",1,3.80,3.63,0.17
"Cascade High School",6,3.82,3.61,0.20
"Sullivan South High School",10,3.97,3.60,0.37
"Greenville High School        ",1,2.70,3.60,-0.90
"Lookout Valley High School",2,3.72,3.60,0.12
"Vibgyor High School",1,3.00,3.60,-0.60
"Louisville High School        ",1,3.34,3.60,-0.26
"Canon-McMillan Hs             ",1,4.00,3.59,0.41
"Neuqua Valley High School",1,3.45,3.59,-0.14
"Jo Byrns High School",5,3.62,3.58,0.04
"P D Jackson-Olin High School  ",1,3.54,3.57,-0.03
"Sailaway Learning and Academy",2,3.99,3.56,0.43
"Maryville Christian School",2,3.97,3.56,0.40
"Prairie Ridge High School",3,3.67,3.56,0.11
"Cathedral Catholic High School",1,4.00,3.56,0.44
"Milestone College",1,4.00,3.56,0.44
"Saint Benedict School",1,3.70,3.54,0.16
"Elbert County High School     ",1,3.11,3.54,-0.43
"Triad High School",1,2.79,3.54,-0.75
"Woodstock High School         ",1,3.40,3.54,-0.14
"Edwardsville High School      ",1,2.80,3.54,-0.74
"John Carroll High School      ",1,4.00,3.54,0.46
"Overton High School",2,3.90,3.54,0.37
"Seymour High School",6,3.82,3.53,0.29
"Tennessee High School",3,3.85,3.53,0.32
"Heritage International School",1,3.91,3.53,0.38
"Christian Cottage School",1,3.81,3.53,0.28
"Boyd-Buchanan School",31,3.69,3.51,0.18
"Dyer County High School",7,3.89,3.50,0.38
"Ripley High School",1,3.74,3.50,0.24
"Massey Hill Classical High Sch",1,4.00,3.50,0.50
"Putnam County Adult High Sch",1,4.00,3.50,0.50
"Turpin High School",1,3.97,3.50,0.47
"Assumption High School        ",1,3.90,3.50,0.40
"Palm Harbor Univ High School",1,3.66,3.50,0.16
"Xavier High School",1,3.80,3.50,0.30
"Mercer Co High School         ",1,4.00,3.50,0.50
"Ardmore High School           ",1,4.00,3.50,0.50
"Lafayette High School         ",1,4.00,3.50,0.50
"Lincoln-Way Comm High School  ",1,4.00,3.50,0.50
"St Edward High School         ",1,4.00,3.50,0.50
"Hampshire High School         ",1,4.00,3.50,0.50
"Lyman High School             ",1,2.61,3.50,-0.89
"Briarcrest Christian School",1,3.91,3.50,0.41
"Thetsaban 6 Udon Thani City HS",1,3.50,3.50,0.00
"Agathos Classical School",2,3.64,3.49,0.15
"West Ridge High School",3,3.77,3.49,0.28
"The Ogburn School Inc",2,3.76,3.48,0.28
"Buckhorn High School          ",1,4.00,3.47,0.53
"Los Osos",1,3.89,3.47,0.42
"Columbia Academy",10,3.90,3.47,0.43
"Home Schooled Student",7,3.90,3.47,0.44
"Saint Pius X High School",1,4.00,3.47,0.53
"Jackson Memorial High School  ",1,3.35,3.47,-0.12
"Batavia High School           ",1,3.20,3.47,-0.27
"Rogers High School            ",1,3.90,3.47,0.43
"Jackson High School           ",1,4.00,3.47,0.53
"Gen Org for Tech Ed/Voc Trng",4,3.51,3.46,0.06
"Madison Academic Magnet Hs",18,3.65,3.45,0.19
"Shelbyville Central High Sch",11,3.88,3.45,0.43
"Bloomington High School North",1,3.53,3.45,0.08
"Moore County High School",17,3.77,3.44,0.33
"Miss Sch For Math & Sciences  ",1,3.72,3.44,0.28
"Mountain Range High School",1,3.82,3.44,0.38
"Middle College Austin Peay",6,3.73,3.44,0.29
"Timber Creek High School      ",1,3.89,3.44,0.45
"Vanguard Virtual High School",1,3.24,3.44,-0.20
"Saint Cecilia Academy",1,3.75,3.44,0.31
0,2,0.00,3.43,-3.43
"Plymouth-Salem High School    ",1,3.77,3.43,0.34
"Scotts Hill High School",1,3.64,3.43,0.21
"Pawhuska High School",1,3.87,3.43,0.44
"Bradford High School",1,3.81,3.43,0.38
"McEwen High School",4,3.80,3.42,0.38
"Homelife Academy",8,3.79,3.42,0.37
"University School",2,3.96,3.41,0.55
"Christian Academy Of Knoxville",4,3.47,3.41,0.06
"Santa Fe High School",2,3.82,3.41,0.42
"North Atlanta High School     ",1,3.79,3.40,0.39
"Highland Rim Academy",11,4.00,3.40,0.60
"Haleyville High School        ",1,4.00,3.40,0.60
"Portage Central High School",1,3.60,3.40,0.20
"Jackson Christian School",1,2.87,3.40,-0.53
"Basha High School",1,3.98,3.40,0.58
"Pace High School              ",1,3.66,3.40,0.26
"Wilson High School            ",1,3.78,3.40,0.38
"Carmel High School            ",1,3.48,3.40,0.08
"Cardinal Gibbons Meml Hs      ",1,3.90,3.40,0.50
"Princess Chulabhorn College",2,3.46,3.40,0.05
"Rockwood High School",6,3.74,3.39,0.35
"Lincoln County High School",15,3.89,3.38,0.51
"W T Woodson High School       ",1,3.06,3.38,-0.32
"East Limestone High School    ",1,3.77,3.38,0.39
"Rick Reedy High Schoo.",1,3.59,3.38,0.21
"Alan C Pope High School       ",1,3.47,3.38,0.09
"Vinal Technical High School",1,3.70,3.38,0.32
"Dyersburg High School",3,3.36,3.37,-0.01
"Cumberland Gap High School",2,3.91,3.36,0.55
"Howard High School            ",1,3.88,3.36,0.52
"Saint Andrews-Sewanee School",5,3.28,3.36,-0.08
"Grace Academy",1,3.76,3.36,0.40
"Daniel 1 Academy",31,3.73,3.35,0.38
"Midway High School",7,3.69,3.35,0.34
"Covington High School",6,3.89,3.34,0.55
"Franklin Classical School",2,3.94,3.34,0.60
"Huntsville High School        ",1,2.88,3.33,-0.45
"Mattawan High School          ",1,3.39,3.33,0.06
"North Broward School",1,4.00,3.33,0.67
"Horizon High School",1,4.00,3.33,0.67
"Oak Creek-Franklin High School",1,3.69,3.33,0.36
"Pham Phu Thu High School",1,3.50,3.33,0.17
"East Hamilton School",13,3.72,3.32,0.40
"Lakeside High School          ",2,3.52,3.32,0.21
"North Paulding High School",1,3.17,3.31,-0.14
"McGehee High School",1,3.60,3.31,0.29
"Wauwatosa East High School",1,3.53,3.31,0.22
"Ocean Township High School",1,4.00,3.31,0.69
"Cass Technical High School    ",2,3.50,3.30,0.20
"Crockett County High School",6,3.79,3.30,0.50
"F C Boyd Christian School",2,3.88,3.30,0.58
"Aichi Prefectural Kariya N HS",1,3.20,3.30,-0.10
"Hickman County High School",4,3.87,3.29,0.58
"Halls High School",19,3.73,3.29,0.45
"Collinwood High School",5,3.65,3.29,0.36
"Weaver High School            ",1,3.53,3.29,0.24
"Franklin Community High School",1,3.94,3.29,0.65
"Seaway District High School",1,3.32,3.29,0.03
"Arbor View High School",1,4.00,3.29,0.71
"Berean Christian High School",9,3.79,3.28,0.51
"Lenoir City High School",42,3.67,3.28,0.39
"Huntingdon High School",4,3.70,3.28,0.42
"New Hope Academy",2,3.55,3.28,0.27
"Clermont Northeastern         ",1,3.97,3.27,0.70
"St Mary High School           ",1,3.78,3.27,0.51
"Fayetteville High School",9,3.83,3.26,0.56
"Tennessee Online Public School",2,3.52,3.25,0.27
"Cocke County High School",3,3.65,3.25,0.40
"Secaucus High School",1,3.41,3.25,0.16
"East Hickman High School",5,3.70,3.25,0.45
"Seminole Ridge High School",1,2.39,3.25,-0.86
"Union Co High School          ",1,3.98,3.25,0.73
"Blue Ridge High School        ",1,4.00,3.25,0.75
"Rio Americano High School     ",1,3.35,3.25,0.10
"Pocahontas Area School",1,2.90,3.25,-0.35
"Great Panaf Schools",1,3.30,3.25,0.05
"Pickett County High School",37,3.71,3.24,0.47
"L&N Stem Academy",6,3.70,3.24,0.47
"David Crockett High School",11,3.85,3.24,0.61
"Cheatham County High School",9,3.81,3.24,0.57
"Happy Valley High School",3,3.78,3.24,0.55
"Home Life Academy",52,3.75,3.23,0.52
"Greeneville High School",10,3.81,3.23,0.58
"Perry County High School",10,3.70,3.23,0.47
"Crete Monee High School       ",1,3.54,3.23,0.31
"Morristown Hamblen East High",5,3.93,3.23,0.70
"Stewart County High School",4,3.70,3.22,0.48
"Cudahy High School",2,2.94,3.22,-0.28
"Grace Christian Acad",1,3.70,3.21,0.49
"Chattanooga Hs Ctr Creative Ar",7,3.70,3.21,0.50
"Northview High School         ",1,3.50,3.21,0.29
"Headland High School          ",1,3.67,3.21,0.46
"Redeemer Classical Academy",1,3.89,3.21,0.68
"Century High School",1,3.85,3.21,0.64
"Abingdon High School          ",1,3.94,3.20,0.74
"Valor Collegiate Academy",1,3.63,3.20,0.43
"Peachtree High School         ",1,4.00,3.19,0.81
"Donelson Christian Academy",11,3.65,3.19,0.46
"Gibbs High School",8,3.86,3.19,0.67
"Marian Catholic High School   ",1,3.23,3.19,0.04
"Loudon High School",21,3.78,3.18,0.60
"Chattanooga Christian School",18,3.53,3.18,0.35
"Christian Brothers High School",8,3.87,3.18,0.69
"McCallie School",6,3.48,3.18,0.30
"East High School",1,4.00,3.18,0.82
"West Creek High School",2,3.54,3.18,0.36
"Sanford H Calhoun High School",1,3.80,3.18,0.62
"La Grange High School         ",1,4.00,3.18,0.82
"Liberty Technology Magnet Hs",2,3.56,3.17,0.38
"Ezell Harding Christian School",9,3.33,3.17,0.16
"McEachern High School         ",1,3.09,3.17,-0.08
"Van Buren County High School",26,3.96,3.16,0.80
"Notre Dame High School",10,3.83,3.16,0.67
"Middle Tennessee Christian Sch",16,3.72,3.15,0.57
"First Baptist Academy",1,4.00,3.15,0.85
"International School Of Manila",1,3.48,3.15,0.33
"Cherokee High School",8,3.53,3.14,0.39
"Pleasant View Christian School",5,3.78,3.14,0.64
"Farragut High School",30,3.55,3.14,0.42
"Loretto High School",2,3.51,3.14,0.36
"Dunwoody High School          ",1,3.42,3.14,0.28
"Cagaloglu High School",1,3.57,3.14,0.43
"Ajyal Al Khafji Private Sec Sc",1,4.00,3.14,0.86
"Gainesville High School       ",1,3.28,3.14,0.14
"Forrest High School",11,3.85,3.13,0.72
"Greencastle High School       ",1,2.93,3.13,-0.20
"Jakarta International School  ",1,2.37,3.13,-0.76
"Gilbert High School",1,3.73,3.13,0.60
"Mill River Union High School",1,3.62,3.13,0.49
"Coalfield High School",7,3.49,3.12,0.37
"William Blount High School",35,3.63,3.11,0.53
"Summertown High School",3,3.65,3.11,0.54
"Unicoi County High School",9,3.95,3.10,0.85
"Faith Heritage Christian Acad",2,4.00,3.10,0.90
"Hardin Valley Academy",41,3.68,3.09,0.59
"Chuckey Doak High School",6,3.82,3.09,0.74
"North Hall High School        ",1,3.83,3.09,0.74
"Station Camp High School",54,3.66,3.08,0.58
"Signal Mountain High School",14,3.43,3.08,0.35
"Concord High School           ",1,3.15,3.08,0.07
"Johnson County High School",8,3.71,3.08,0.62
"East Lyme High School         ",1,3.29,3.08,0.21
"Johns Creek High School",1,3.00,3.08,-0.08
"Powell High School",6,3.74,3.07,0.67
"Goodpasture Christian School",16,3.72,3.07,0.65
"Oliver Springs High School",15,3.71,3.07,0.64
"Sullivan East High School",6,3.86,3.07,0.80
"United Christian Academy",2,4.00,3.07,0.93
"Franklin County High School",40,3.75,3.06,0.70
"West Greene High School",7,3.90,3.06,0.84
"Fairview High School",10,3.51,3.06,0.45
"Karns High School",18,3.83,3.06,0.78
"Providence Christian Academy",6,3.80,3.06,0.74
"Campbell County Comprehen Hs",6,3.88,3.06,0.82
"Abeka Academy",2,3.80,3.06,0.73
"Laurel Springs School",1,3.58,3.06,0.52
"James Clemens High School",1,3.94,3.06,0.88
"Clay County High School",38,3.86,3.05,0.81
"Baylor School",12,3.33,3.04,0.29
"Beech High School",41,3.59,3.04,0.55
"Science Hill High School",19,3.60,3.04,0.56
"Republic High School",10,3.36,3.04,0.32
"Sumner Co Middle College HS",2,3.41,3.04,0.37
"Northwest High School",4,3.62,3.04,0.58
"Hendersonville High School",51,3.49,3.03,0.47
"Cleveland High School",27,3.67,3.02,0.65
"Meigs County High School",17,3.66,3.02,0.63
"Henry County High School",5,3.89,3.02,0.87
"Sycamore High School",28,3.77,3.01,0.76
"Bearden High School",34,3.65,3.01,0.64
"University School Of Jackson",4,3.95,3.01,0.94
"Portland Senior High School",36,3.67,3.01,0.66
"Red Boiling Springs Hs",18,3.80,3.01,0.80
"Anderson County High School",37,3.78,3.00,0.78
"Smith County High School",41,3.61,3.00,0.61
"Friendship Christian School",23,3.60,3.00,0.60
"Milan High School",4,3.50,3.00,0.50
"Shanghai Datong High School",1,3.36,3.00,0.36
"Cumberland Co High School     ",2,3.46,3.00,0.46
"Lighthouse Christian School",3,3.92,3.00,0.92
"Heritage High School",21,3.73,3.00,0.73
"LEAD Academy High School",3,3.55,3.00,0.55
"Brookwood High School         ",1,3.24,3.00,0.24
"Scottsboro High School        ",1,3.69,3.00,0.69
"Lewis County High School",7,3.67,3.00,0.68
"Warren Hills Regional         ",1,2.99,3.00,-0.01
"Woodrow Wilson High School",1,3.58,3.00,0.58
"Sidney Lanier High School     ",1,2.80,3.00,-0.20
"Christian Acad of Cumberlands",2,3.56,3.00,0.55
"Camden High School            ",1,4.00,3.00,1.00
"White Station High School",1,4.00,3.00,1.00
"Downers Grove Comm H S South  ",1,3.69,3.00,0.69
"Jumeira Baccalaureate School",1,4.00,3.00,1.00
"Davidson Academy",12,3.82,2.99,0.82
"Hillsboro High School",8,3.67,2.99,0.67
"Battle Ground Academy",2,3.90,2.99,0.91
"Merrol Hyde Magnet School",7,3.65,2.98,0.67
"Livingston Academy",144,3.73,2.96,0.77
"Aaron Academy",23,3.71,2.96,0.74
"Soddy-Daisy High School",28,3.74,2.96,0.78
"White House High School",27,3.65,2.96,0.69
"Green Hill High School",17,3.89,2.96,0.92
"Jellico High School",3,3.72,2.96,0.76
"Haywood High School",2,3.96,2.96,0.99
"Maryville High School",63,3.60,2.95,0.65
"Ravenwood High School",29,3.63,2.95,0.68
"Montgomery Central High School",7,3.59,2.95,0.64
"Riverdale High School",30,3.56,2.94,0.61
"Martin Luther King High Magnet",35,3.47,2.94,0.53
"Central High School",28,3.63,2.94,0.69
"Tennessee Christian Academy",1,3.31,2.94,0.37
"Polk County High School",2,3.21,2.94,0.27
"Columbia Central High School",18,3.66,2.93,0.73
"Houston County High School",7,3.58,2.93,0.64
"Stratford High School",8,3.51,2.93,0.58
"Russellville High School      ",1,2.54,2.93,-0.39
"Waverly Central High School",13,3.64,2.92,0.72
"Trousdale County High School",32,3.64,2.92,0.72
"Deerfield-Windsor School",1,3.09,2.92,0.17
"St Colman's College Newry",1,3.30,2.92,0.38
"Wilson Central High School",94,3.72,2.91,0.82
"Centennial High School",30,3.63,2.91,0.73
"Zion Christian Academy",8,3.72,2.91,0.81
"Marion County High School",13,3.68,2.91,0.77
"Springfield High School       ",1,2.97,2.91,0.06
"Gordonsville High School",43,3.63,2.90,0.74
"Sullivan Central High School",7,3.86,2.90,0.96
"Mount Juliet High School",94,3.77,2.90,0.87
"Dutchtown High School",1,3.53,2.90,0.63
"Frank Hughes High School",2,3.81,2.90,0.90
"Dickson County High School",54,3.63,2.89,0.73
"Peabody High School",2,3.86,2.89,0.97
"Whitwell High School",11,3.43,2.89,0.54
"Grace Christian Academy",6,3.76,2.89,0.87
"Independence High School",56,3.72,2.88,0.84
"Northwest Whitfield Co High   ",1,3.59,2.88,0.71
"Watertown High School",25,3.79,2.87,0.92
"Fred J Page High School",37,3.67,2.87,0.79
"Kings Academy",3,3.16,2.87,0.29
"White House Heritage School",27,3.64,2.86,0.79
"Carter High School",5,3.55,2.86,0.69
"Franklin Christian Academy",7,3.82,2.86,0.96
"Colquitt County High School   ",1,3.00,2.86,0.14
"Eastern High School           ",1,3.83,2.86,0.97
"Yakumo Academy Sr High Sch",1,3.32,2.86,0.46
"Teays Valley Christian School",1,3.09,2.86,0.23
"Rossview High School",12,3.49,2.85,0.64
"Daniel Boone High School",17,3.69,2.85,0.84
"Cedar Shoals High School      ",2,3.06,2.85,0.20
"Christian Community High Sch",10,3.72,2.85,0.87
"Bassfield High School",1,2.79,2.85,-0.06
"Newport Middle High School",1,2.19,2.85,-0.66
"Cocoa High School             ",1,3.64,2.85,0.79
"Mount Juliet Christian Academy",15,3.61,2.84,0.77
"John Overton Comprehensive Hs",26,3.69,2.84,0.85
"South Doyle High School",4,3.69,2.84,0.86
"Sevier County High School",6,3.69,2.84,0.84
"Siegel High School",31,3.56,2.83,0.73
"Clarksville High School",15,3.52,2.83,0.69
"Smyrna High School",29,3.62,2.83,0.79
"Knoxville Catholic High School",12,3.49,2.83,0.66
"Serrano High School           ",1,3.14,2.83,0.31
"Walter Panas High School",1,3.40,2.83,0.57
"Cookeville High School",490,3.71,2.82,0.89
"Spring Hill High School",19,3.47,2.82,0.64
"Mose Vines Preparation Acad",1,2.90,2.82,0.08
"Christ's Legacy Academy",1,3.62,2.82,0.80
"E-Gimnazija Grammar School",1,3.83,2.82,1.01
"Franklin High School",36,3.68,2.81,0.87
"Nashville Christian School",7,3.41,2.81,0.60
"Sweetwater High School",6,3.87,2.81,1.05
"Alcoa High School",12,3.63,2.80,0.83
"West High School",5,3.59,2.80,0.79
"Greenbrier High School        ",1,3.40,2.80,0.60
"Stone Memorial High School",99,3.75,2.79,0.96
"York Institute",54,3.77,2.79,0.98
"Lexington Christian Academy   ",1,3.85,2.79,1.06
"Althoff Catholic High School",1,4.00,2.79,1.21
"Stratford Academy             ",1,3.56,2.79,0.77
"Homewood High School",1,3.00,2.79,0.21
"Neil McNeil High School",1,3.50,2.79,0.71
"Father Ryan High School",24,3.39,2.78,0.61
"Riverside High School",4,3.75,2.78,0.98
"Clarksville Academy",4,3.72,2.78,0.94
"West Jessamine High School    ",2,3.55,2.78,0.77
"Hueytown High School          ",1,3.96,2.77,1.19
"Union County High School",9,3.46,2.77,0.69
"Jefferson County High School",23,3.78,2.76,1.02
"Gordon Lee High School        ",2,3.92,2.76,1.16
"Escambia High School          ",2,3.62,2.76,0.86
"Roane County High School",19,3.63,2.75,0.89
"Brentwood Academy",1,3.19,2.75,0.44
"Bellbrook High School         ",1,4.00,2.75,1.25
"Peoria Christian",1,3.18,2.75,0.43
"Waukesha South High School",1,3.50,2.75,0.75
"Coronado High School",1,4.00,2.75,1.25
"Oneida High School",18,3.64,2.74,0.90
"South Greene High School",3,3.70,2.74,0.97
"Greenback High School",3,3.72,2.74,0.97
"Hampton High School",3,3.78,2.74,1.04
"Soulsville Charter School",6,3.52,2.74,0.78
"South Gibson County HS",18,3.73,2.73,1.00
"Space Coast Junior/senior Hs",1,2.89,2.73,0.16
"Central Magnet School",34,3.51,2.72,0.79
"Wayne County High School",2,3.40,2.72,0.67
"Community High School",4,3.56,2.72,0.83
"Lexington High School",20,3.73,2.72,1.00
"Harpeth High School",34,3.48,2.72,0.75
"Gatlinburg-Pittman High School",8,3.62,2.72,0.90
"Starfield College",2,3.46,2.72,0.75
"Macon County High School",56,3.73,2.71,1.02
"Warren County High School",118,3.75,2.71,1.04
"Oakland High School",42,3.36,2.71,0.66
"Huntland High School",18,3.88,2.71,1.16
"Germantown High School",1,3.55,2.71,0.84
"Opp High School               ",1,4.00,2.71,1.29
"Ledgemont High School",1,2.89,2.71,0.18
"North Cobb High School        ",1,3.25,2.71,0.54
"DeKalb County High School",80,3.88,2.70,1.18
"Ooltewah High School",16,3.40,2.70,0.70
"Arlington High School",9,3.55,2.70,0.85
"Trinity Christian Academy",4,3.70,2.70,1.00
"Kenwood High School",16,3.74,2.69,1.05
"Hoover High School            ",3,2.60,2.69,-0.10
"William & Reed Academy",1,2.84,2.69,0.15
"McMinn County High School",13,3.75,2.68,1.07
"Academy at Hickory Hollow",2,2.46,2.68,-0.22
"Monterey High School",52,3.53,2.67,0.86
"Grundy County High School",25,3.58,2.67,0.91
"North Greene High School",5,3.87,2.67,1.19
"Greenbrier High School",9,3.62,2.67,0.95
"Chattanooga Sch Arts/sciences",10,3.41,2.67,0.74
"Riverside High School         ",1,3.93,2.67,1.26
"Wayne County High School      ",1,4.00,2.67,1.33
"Hume-Fogg Academic High School",21,3.50,2.67,0.83
"Sebring High School           ",1,3.59,2.67,0.92
"Heritage Academy",3,3.37,2.67,0.70
"Ronald Reagan High School",1,3.10,2.67,0.43
"Greenfield High School",1,3.85,2.67,1.18
"White County High School",157,3.63,2.66,0.97
"Tullahoma High School",28,3.67,2.66,1.01
"Brentwood High School",17,3.71,2.66,1.05
"Volunteer High School",8,3.66,2.66,1.01
"Stewarts Creek High School",62,3.64,2.65,0.99
"East Robertson High School",12,3.56,2.65,0.90
"Sunbright High School",10,3.43,2.65,0.78
"Humboldt High School",4,3.60,2.65,0.96
"Blackman High School",43,3.29,2.64,0.66
"Creek Wood High School",26,3.73,2.64,1.09
"Mount Pleasant High School",4,3.93,2.64,1.29
"Morristown Hamblen Hs West",13,3.57,2.64,0.93
"Stockholms Idrottsgymnasium",1,3.71,2.64,1.07
"Gateway Christian Schools",14,3.84,2.63,1.21
"Sequatchie County High School",45,3.50,2.63,0.87
"Hampden Academy               ",1,2.46,2.63,-0.17
"Hillwood Comprehensive Hs",12,3.50,2.62,0.88
"Connections Academy",1,3.05,2.62,0.43
"Monroe County High School     ",1,3.53,2.62,0.91
"Clinton High School",19,3.68,2.61,1.06
"Knoxville Christian School",6,3.68,2.61,1.07
"Marshall County High School",25,3.84,2.61,1.23
"Coffee County Central Hs",61,3.72,2.60,1.13
"Sequoyah High School",22,3.66,2.60,1.07
"Battlefield High School",1,3.82,2.60,1.22
"De Beque High School          ",1,3.70,2.60,1.10
"Hartselle High School         ",1,3.74,2.60,1.14
"Lafayette Sr High School      ",1,4.00,2.60,1.40
"McGavock High School",38,3.47,2.59,0.87
"Houston High School",8,3.44,2.59,0.86
"Munford High School",4,3.31,2.59,0.72
