HighSchool,Count,HSGPA,ColGPA,difGPA
"Valdosta High School          ",2,3.50,1.92,1.58
"Franklin Road Christian School",3,3.50,1.94,1.56
"Adamsville High School",4,3.85,2.29,1.56
"Valley Academy",1,3.69,2.13,1.56
"Cordova High School",2,3.06,1.50,1.56
"Pearl-Cohn High School",1,3.63,2.08,1.55
"Chester County High School",4,3.29,1.74,1.55
"Harriman High School",4,3.81,2.27,1.54
"Lancaster Christian Academy",2,3.74,2.21,1.54
"Claiborne High School",2,3.54,2.00,1.54
"Webb School",8,2.87,1.35,1.52
"Culleoka High School",3,3.68,2.17,1.51
"Mead Senior High school       ",1,3.06,1.56,1.50
"Family Christian Acad East TN",1,3.44,1.94,1.50
"Clarkrange High School",33,3.75,2.27,1.48
"Eagleville High School",10,3.51,2.03,1.48
"Central High School McMinn Co",11,3.50,2.02,1.47
"Blue Springs South High School",1,3.29,1.82,1.47
"Triangle Math and Science Acad",1,3.97,2.50,1.47
"Spencer County High School    ",1,4.00,2.53,1.47
"Magnolia High School",1,2.88,1.42,1.46
"Berean Baptist Academy",1,3.82,2.38,1.44
"Howard School Academics & Tech",2,3.08,1.66,1.42
"Mountain View Christian Acad",1,3.80,2.38,1.42
"Cornersville High School",7,3.66,2.25,1.41
"Austin East Magnet High School",5,3.55,2.15,1.41
"STEM School Chattanooga",12,3.41,2.00,1.41
"South Side High School",1,3.72,2.31,1.41
"Red Bank High School",14,3.45,2.05,1.40
"Lockport High School          ",1,3.90,2.50,1.40
"Lafayette Sr High School      ",1,4.00,2.60,1.40
"Lake Minneola High School",1,3.75,2.36,1.39
"King George High School       ",1,3.53,2.14,1.39
"Bishop Union High School",1,3.33,1.94,1.39
"Harding Academy Of Memphis",2,3.16,1.78,1.38
"Nesbitt Discovery Academy",1,3.60,2.23,1.37
"Cabool High School",1,3.37,2.00,1.37
"Hardin County High School",3,3.75,2.40,1.36
"Scott County Senior High Schoo",1,3.89,2.55,1.34
"Webb School Of Knoxville",3,3.49,2.15,1.34
"West Texas High School",1,3.65,2.31,1.34
"Wayne County High School      ",1,4.00,2.67,1.33
"Colonial Forge High School    ",1,3.33,2.00,1.33
"STEP Prep Academy High School",7,3.30,1.99,1.31
"Free Will Baptist School",1,3.64,2.33,1.31
"Fulton High School",3,3.55,2.24,1.31
"Turlock High School",1,3.56,2.25,1.31
"Mount Pleasant High School",4,3.93,2.64,1.29
"Lavergne High School",25,3.50,2.20,1.29
"Opp High School               ",1,4.00,2.71,1.29
"Northview Academy",5,3.74,2.46,1.28
"Tennessee School For The Blind",3,3.49,2.21,1.28
"Acellus Academy",1,3.77,2.50,1.27
"Hunters Lane High School",9,3.60,2.34,1.26
"Riverside High School         ",1,3.93,2.67,1.26
"Grainger High School",7,3.75,2.50,1.26
"Baltimore City College",1,3.33,2.07,1.26
"Bledsoe County High School",23,3.65,2.40,1.25
"Winder Barrow High School     ",2,2.76,1.50,1.25
"Gibson County High School",2,3.79,2.54,1.25
"Bellbrook High School         ",1,4.00,2.75,1.25
"Coronado High School",1,4.00,2.75,1.25
"Upperman High School",172,3.73,2.48,1.24
"Cannon County High School",20,3.53,2.29,1.24
"Marshall County High School",25,3.84,2.61,1.23
"Lebanon High School",108,3.73,2.50,1.23
"Giles County High School",5,3.42,2.19,1.23
"Nelson County High School     ",2,3.10,1.88,1.22
"Battlefield High School",1,3.82,2.60,1.22
"Gateway Christian Schools",14,3.84,2.63,1.21
"Notre Dame-Bishop Gibbons Sch",1,2.50,1.29,1.21
"Althoff Catholic High School",1,4.00,2.79,1.21
"Punjab School Education Board",1,2.50,1.29,1.21
"Penn Foster High School       ",12,3.56,2.36,1.20
"CAK Homeschool",3,3.75,2.55,1.20
"Cumberland County High School",90,3.73,2.54,1.19
"North Greene High School",5,3.87,2.67,1.19
"Hueytown High School          ",1,3.96,2.77,1.19
"DeKalb County High School",80,3.88,2.70,1.18
"Greenfield High School",1,3.85,2.67,1.18
"Solon High School",1,3.18,2.00,1.18
"Bilimkana-AUCA High School",1,3.10,1.92,1.18
"Hixson High School",19,3.61,2.44,1.17
"Scott High School",21,3.70,2.54,1.16
"Huntland High School",18,3.88,2.71,1.16
"Gordon Lee High School        ",2,3.92,2.76,1.16
"Nolensville High School",38,3.54,2.40,1.15
"Hartselle High School         ",1,3.74,2.60,1.14
"Nashville Big Picture HS",4,3.58,2.44,1.14
"Coffee County Central Hs",61,3.72,2.60,1.13
"Pigeon Forge High School",7,3.51,2.38,1.13
"Brighton High School",7,3.52,2.38,1.13
"Bartlett High School",18,3.64,2.52,1.13
"Ensworth High School",3,3.27,2.14,1.13
"Mount Zion High School",1,3.42,2.29,1.13
"Middle College HS Memphis",2,3.47,2.34,1.12
"Colegio Inmaculada Concepcion",1,3.65,2.53,1.12
"Brooks High School            ",1,3.00,1.89,1.11
"Chesapeake Science Point PCS",1,3.54,2.43,1.11
"Westmoreland High School",5,3.65,2.55,1.10
"De Beque High School          ",1,3.70,2.60,1.10
"Bolivar Central High School",2,3.33,2.24,1.10
"Creek Wood High School",26,3.73,2.64,1.09
"Jackson County High School",51,3.44,2.35,1.09
"Rhea County High School",19,3.67,2.58,1.09
"Jefferson High School         ",1,3.38,2.29,1.09
"East Nashville Magnet School",4,3.53,2.44,1.09
"Myers Park High School        ",1,3.18,2.09,1.09
"Walker Valley High School",36,3.62,2.54,1.08
"Tattnall Co High School       ",1,3.25,2.17,1.08
"McMinn County High School",13,3.75,2.68,1.07
"Knoxville Christian School",6,3.68,2.61,1.07
"Sequoyah High School",22,3.66,2.60,1.07
"Stockholms Idrottsgymnasium",1,3.71,2.64,1.07
"Clinton High School",19,3.68,2.61,1.06
"Gallatin High School",29,3.51,2.45,1.06
"North Side High School",3,3.21,2.15,1.06
"McNairy Central High School",3,3.60,2.55,1.06
"Lexington Christian Academy   ",1,3.85,2.79,1.06
"Kenwood High School",16,3.74,2.69,1.05
"Brentwood High School",17,3.71,2.66,1.05
"Oak Ridge High School",33,3.41,2.37,1.05
"Sweetwater High School",6,3.87,2.81,1.05
"Chatt Girls Leadership Acad",3,2.87,1.82,1.05
"Warren County High School",118,3.75,2.71,1.04
"Lawrence County High School",3,3.63,2.58,1.04
"Hampton High School",3,3.78,2.74,1.04
"Dutch Fork High School",1,3.50,2.46,1.04
"Murrieta Mesa High School",1,2.84,1.80,1.04
"Clinton County High           ",6,3.58,2.55,1.03
"Lipscomb Academy",9,3.51,2.48,1.03
"Clay Chalkville High School   ",1,3.49,2.46,1.03
"Macon County High School",56,3.73,2.71,1.02
"Jefferson County High School",23,3.78,2.76,1.02
"Tullahoma High School",28,3.67,2.66,1.01
"Summit High School",60,3.58,2.57,1.01
"Bradley Central High School",20,3.58,2.57,1.01
"Springfield High School",18,3.58,2.57,1.01
"Volunteer High School",8,3.66,2.66,1.01
"Lausanne Collegiate School",1,3.15,2.14,1.01
"E-Gimnazija Grammar School",1,3.83,2.82,1.01
"South Gibson County HS",18,3.73,2.73,1.00
"Lexington High School",20,3.73,2.72,1.00
"Trinity Christian Academy",4,3.70,2.70,1.00
"Franklin Road Academy",3,3.45,2.45,1.00
"Camden High School            ",1,4.00,3.00,1.00
"White Station High School",1,4.00,3.00,1.00
"Jumeira Baccalaureate School",1,4.00,3.00,1.00
"Stewarts Creek High School",62,3.64,2.65,0.99
"Haywood High School",2,3.96,2.96,0.99
"York Institute",54,3.77,2.79,0.98
"Riverside High School",4,3.75,2.78,0.98
"White County High School",157,3.63,2.66,0.97
"Peabody High School",2,3.86,2.89,0.97
"South Greene High School",3,3.70,2.74,0.97
"Greenback High School",3,3.72,2.74,0.97
"Eastern High School           ",1,3.83,2.86,0.97
"Sullivan Central High School",7,3.86,2.90,0.96
"Stone Memorial High School",99,3.75,2.79,0.96
"Cane Ridge High School",6,3.36,2.41,0.96
"Franklin Christian Academy",7,3.82,2.86,0.96
"Humboldt High School",4,3.60,2.65,0.96
"Rockvale High School",15,3.50,2.54,0.96
"Greenbrier High School",9,3.62,2.67,0.95
"University School Of Jackson",4,3.95,3.01,0.94
"Clarksville Academy",4,3.72,2.78,0.94
"Morristown Hamblen Hs West",13,3.57,2.64,0.93
"Silverdale Baptist Academy",1,3.43,2.50,0.93
"United Christian Academy",2,4.00,3.07,0.93
"Watertown High School",25,3.79,2.87,0.92
"Lighthouse Christian School",3,3.92,3.00,0.92
"Sebring High School           ",1,3.59,2.67,0.92
"Green Hill High School",17,3.89,2.96,0.92
"Grundy County High School",25,3.58,2.67,0.91
"Monroe County High School     ",1,3.53,2.62,0.91
"Battle Ground Academy",2,3.90,2.99,0.91
"Oneida High School",18,3.64,2.74,0.90
"East Robertson High School",12,3.56,2.65,0.90
"Gatlinburg-Pittman High School",8,3.62,2.72,0.90
"IMG Academy",1,3.43,2.53,0.90
"Frank Hughes High School",2,3.81,2.90,0.90
"Faith Heritage Christian Acad",2,4.00,3.10,0.90
"Cookeville High School",490,3.71,2.82,0.89
"Gleason High School",1,3.33,2.44,0.89
"Roane County High School",19,3.63,2.75,0.89
"Antioch High School",17,3.29,2.42,0.88
"Hillwood Comprehensive Hs",12,3.50,2.62,0.88
"Elk Grove High School         ",2,3.34,2.47,0.88
"James Clemens High School",1,3.94,3.06,0.88
"McGavock High School",38,3.47,2.59,0.87
"Sequatchie County High School",45,3.50,2.63,0.87
"Mount Juliet High School",94,3.77,2.90,0.87
"Franklin High School",36,3.68,2.81,0.87
"Grace Christian Academy",6,3.76,2.89,0.87
"Christian Community High Sch",10,3.72,2.85,0.87
"Rockledge High School         ",1,2.78,1.91,0.87
"Henry County High School",5,3.89,3.02,0.87
"Monterey High School",52,3.53,2.67,0.86
"South Doyle High School",4,3.69,2.84,0.86
"Northeast High School",13,3.42,2.56,0.86
"Houston High School",8,3.44,2.59,0.86
"Escambia High School          ",2,3.62,2.76,0.86
"Ajyal Al Khafji Private Sec Sc",1,4.00,3.14,0.86
"John Overton Comprehensive Hs",26,3.69,2.84,0.85
"Unicoi County High School",9,3.95,3.10,0.85
"Arlington High School",9,3.55,2.70,0.85
"First Baptist Academy",1,4.00,3.15,0.85
"Daniel Boone High School",17,3.69,2.85,0.84
"West Greene High School",7,3.90,3.06,0.84
"Sevier County High School",6,3.69,2.84,0.84
"Independence High School",56,3.72,2.88,0.84
"Germantown High School",1,3.55,2.71,0.84
"Alcoa High School",12,3.63,2.80,0.83
"Community High School",4,3.56,2.72,0.83
"Hume-Fogg Academic High School",21,3.50,2.67,0.83
"Intrepid Coll Prep Independ",3,3.13,2.30,0.83
"Davidson Academy",12,3.82,2.99,0.82
"Wilson Central High School",94,3.72,2.91,0.82
"Dobyns Bennett High School",19,3.35,2.53,0.82
"Campbell County Comprehen Hs",6,3.88,3.06,0.82
"East High School",1,4.00,3.18,0.82
Connections,1,2.28,1.46,0.82
"La Grange High School         ",1,4.00,3.18,0.82
"Clay County High School",38,3.86,3.05,0.81
"Zion Christian Academy",8,3.72,2.91,0.81
"Peachtree High School         ",1,4.00,3.19,0.81
"Van Buren County High School",26,3.96,3.16,0.80
"Carthage Central High School",1,2.80,2.00,0.80
"Sullivan East High School",6,3.86,3.07,0.80
"Red Boiling Springs Hs",18,3.80,3.01,0.80
"Christ's Legacy Academy",1,3.62,2.82,0.80
"Milton High School            ",1,3.30,2.50,0.80
"Fred J Page High School",37,3.67,2.87,0.79
"White House Heritage School",27,3.64,2.86,0.79
"Central Magnet School",34,3.51,2.72,0.79
"Smyrna High School",29,3.62,2.83,0.79
"West High School",5,3.59,2.80,0.79
"Cocoa High School             ",1,3.64,2.85,0.79
"Anderson County High School",37,3.78,3.00,0.78
"Soddy-Daisy High School",28,3.74,2.96,0.78
"Sunbright High School",10,3.43,2.65,0.78
"Karns High School",18,3.83,3.06,0.78
"Soulsville Charter School",6,3.52,2.74,0.78
"Livingston Academy",144,3.73,2.96,0.77
"Mount Juliet Christian Academy",15,3.61,2.84,0.77
"Marion County High School",13,3.68,2.91,0.77
"West Jessamine High School    ",2,3.55,2.78,0.77
"Stratford Academy             ",1,3.56,2.79,0.77
"Sycamore High School",28,3.77,3.01,0.76
"Jellico High School",3,3.72,2.96,0.76
"Central Acad Technology Arts",1,2.55,1.79,0.76
"Harpeth High School",34,3.48,2.72,0.75
"Starfield College",2,3.46,2.72,0.75
"Waukesha South High School",1,3.50,2.75,0.75
"Blue Ridge High School        ",1,4.00,3.25,0.75
"Gordonsville High School",43,3.63,2.90,0.74
"Aaron Academy",23,3.71,2.96,0.74
"Chuckey Doak High School",6,3.82,3.09,0.74
"Chattanooga Sch Arts/sciences",10,3.41,2.67,0.74
"Providence Christian Academy",6,3.80,3.06,0.74
"North Hall High School        ",1,3.83,3.09,0.74
"Abingdon High School          ",1,3.94,3.20,0.74
"Baker High School             ",1,3.18,2.44,0.74
"Newark Valley High School",1,3.10,2.36,0.74
"Siegel High School",31,3.56,2.83,0.73
"Columbia Central High School",18,3.66,2.93,0.73
"Centennial High School",30,3.63,2.91,0.73
"Dickson County High School",54,3.63,2.89,0.73
"Heritage High School",21,3.73,3.00,0.73
"Abeka Academy",2,3.80,3.06,0.73
"Union Co High School          ",1,3.98,3.25,0.73
"Waverly Central High School",13,3.64,2.92,0.72
"Forrest High School",11,3.85,3.13,0.72
"Trousdale County High School",32,3.64,2.92,0.72
"Munford High School",4,3.31,2.59,0.72
"Northwest Whitfield Co High   ",1,3.59,2.88,0.71
"Arbor View High School",1,4.00,3.29,0.71
"Neil McNeil High School",1,3.50,2.79,0.71
"Franklin County High School",40,3.75,3.06,0.70
"Ooltewah High School",16,3.40,2.70,0.70
"Morristown Hamblen East High",5,3.93,3.23,0.70
"Heritage Academy",3,3.37,2.67,0.70
"Clermont Northeastern         ",1,3.97,3.27,0.70
"Benjamin E Mays High School   ",1,2.70,2.00,0.70
"Clarksville High School",15,3.52,2.83,0.69
"Central High School",28,3.63,2.94,0.69
"Christian Brothers High School",8,3.87,3.18,0.69
"Scottsboro High School        ",1,3.69,3.00,0.69
"Carter High School",5,3.55,2.86,0.69
"White House High School",27,3.65,2.96,0.69
"Urbana High School",1,3.02,2.33,0.69
"Union County High School",9,3.46,2.77,0.69
"Ocean Township High School",1,4.00,3.31,0.69
"Collins Hill High School      ",2,3.02,2.33,0.69
"Downers Grove Comm H S South  ",1,3.69,3.00,0.69
"Lowndes High School           ",1,2.90,2.21,0.69
"Ravenwood High School",29,3.63,2.95,0.68
"Lewis County High School",7,3.67,3.00,0.68
"Redeemer Classical Academy",1,3.89,3.21,0.68
"Brainerd High School",1,3.14,2.46,0.68
"Powell High School",6,3.74,3.07,0.67
"Hillsboro High School",8,3.67,2.99,0.67
"Notre Dame High School",10,3.83,3.16,0.67
"Wayne County High School",2,3.40,2.72,0.67
"Merrol Hyde Magnet School",7,3.65,2.98,0.67
"Gibbs High School",8,3.86,3.19,0.67
"North Broward School",1,4.00,3.33,0.67
"Horizon High School",1,4.00,3.33,0.67
"Blackman High School",43,3.29,2.64,0.66
"Oakland High School",42,3.36,2.71,0.66
"Portland Senior High School",36,3.67,3.01,0.66
"Knoxville Catholic High School",12,3.49,2.83,0.66
"Pope John Paul II High School",7,3.24,2.58,0.66
"Cleveland High School",27,3.67,3.02,0.65
"Goodpasture Christian School",16,3.72,3.07,0.65
"Maryville High School",63,3.60,2.95,0.65
"Franklin Community High School",1,3.94,3.29,0.65
"Rossview High School",12,3.49,2.85,0.64
"Bearden High School",34,3.65,3.01,0.64
"Spring Hill High School",19,3.47,2.82,0.64
"Houston County High School",7,3.58,2.93,0.64
"Pleasant View Christian School",5,3.78,3.14,0.64
"Oliver Springs High School",15,3.71,3.07,0.64
"Montgomery Central High School",7,3.59,2.95,0.64
"Madisonville North Hopkins H S",1,3.22,2.58,0.64
"Century High School",1,3.85,3.21,0.64
"Meigs County High School",17,3.66,3.02,0.63
"Dutchtown High School",1,3.53,2.90,0.63
"Johnson County High School",8,3.71,3.08,0.62
"Sanford H Calhoun High School",1,3.80,3.18,0.62
"Smith County High School",41,3.61,3.00,0.61
"David Crockett High School",11,3.85,3.24,0.61
"Riverdale High School",30,3.56,2.94,0.61
"Father Ryan High School",24,3.39,2.78,0.61
"Friendship Christian School",23,3.60,3.00,0.60
"Loudon High School",21,3.78,3.18,0.60
"Nashville Christian School",7,3.41,2.81,0.60
"Highland Rim Academy",11,4.00,3.40,0.60
"Haleyville High School        ",1,4.00,3.40,0.60
"Franklin Classical School",2,3.94,3.34,0.60
"Gilbert High School",1,3.73,3.13,0.60
"Greenbrier High School        ",1,3.40,2.80,0.60
"Hardin Valley Academy",41,3.68,3.09,0.59
"Broadfording Christian Academy",1,2.70,2.11,0.59
"Station Camp High School",54,3.66,3.08,0.58
"Greeneville High School",10,3.81,3.23,0.58
"Hickman County High School",4,3.87,3.29,0.58
"Stratford High School",8,3.51,2.93,0.58
"Northwest High School",4,3.62,3.04,0.58
"Aurora West High School       ",1,2.58,2.00,0.58
"Woodrow Wilson High School",1,3.58,3.00,0.58
"F C Boyd Christian School",2,3.88,3.30,0.58
"Basha High School",1,3.98,3.40,0.58
"Columbus Christian Academy",1,3.04,2.47,0.57
"Middle Tennessee Christian Sch",16,3.72,3.15,0.57
"Cheatham County High School",9,3.81,3.24,0.57
"Walter Panas High School",1,3.40,2.83,0.57
"Science Hill High School",19,3.60,3.04,0.56
"Fayetteville High School",9,3.83,3.26,0.56
"Kapkoros Girls Secondary Sch",1,2.83,2.27,0.56
"Beech High School",41,3.59,3.04,0.55
"University School",2,3.96,3.41,0.55
"Thomas Jefferson High School",1,2.93,2.38,0.55
"LEAD Academy High School",3,3.55,3.00,0.55
"Cumberland Gap High School",2,3.91,3.36,0.55
"Covington High School",6,3.89,3.34,0.55
"Christian Acad of Cumberlands",2,3.56,3.00,0.55
"Happy Valley High School",3,3.78,3.24,0.55
"Whitwell High School",11,3.43,2.89,0.54
"Summertown High School",3,3.65,3.11,0.54
"North Cobb High School        ",1,3.25,2.71,0.54
"William Blount High School",35,3.63,3.11,0.53
"Martin Luther King High Magnet",35,3.47,2.94,0.53
"Buckhorn High School          ",1,4.00,3.47,0.53
"Saint Pius X High School",1,4.00,3.47,0.53
"Jackson High School           ",1,4.00,3.47,0.53
"Home Life Academy",52,3.75,3.23,0.52
"Howard High School            ",1,3.88,3.36,0.52
"Laurel Springs School",1,3.58,3.06,0.52
"Berean Christian High School",9,3.79,3.28,0.51
"Lincoln County High School",15,3.89,3.38,0.51
"St Mary High School           ",1,3.78,3.27,0.51
"Milan High School",4,3.50,3.00,0.50
"Chattanooga Hs Ctr Creative Ar",7,3.70,3.21,0.50
"Crockett County High School",6,3.79,3.30,0.50
"Massey Hill Classical High Sch",1,4.00,3.50,0.50
"Putnam County Adult High Sch",1,4.00,3.50,0.50
"Mercer Co High School         ",1,4.00,3.50,0.50
"Ardmore High School           ",1,4.00,3.50,0.50
"Lafayette High School         ",1,4.00,3.50,0.50
"Lincoln-Way Comm High School  ",1,4.00,3.50,0.50
"St Edward High School         ",1,4.00,3.50,0.50
"Hampshire High School         ",1,4.00,3.50,0.50
"Cardinal Gibbons Meml Hs      ",1,3.90,3.40,0.50
"Grace Christian Acad",1,3.70,3.21,0.49
"Mill River Union High School",1,3.62,3.13,0.49
"Stewart County High School",4,3.70,3.22,0.48
"Pickett County High School",37,3.71,3.24,0.47
"L&N Stem Academy",6,3.70,3.24,0.47
"Hendersonville High School",51,3.49,3.03,0.47
"Perry County High School",10,3.70,3.23,0.47
"Turpin High School",1,3.97,3.50,0.47
"Cumberland Co High School     ",2,3.46,3.00,0.46
"Donelson Christian Academy",11,3.65,3.19,0.46
"Headland High School          ",1,3.67,3.21,0.46
"Thompson High School          ",1,2.82,2.36,0.46
"John Carroll High School      ",1,4.00,3.54,0.46
"Universidad Autonoma del Nores",1,3.03,2.57,0.46
"Yakumo Academy Sr High Sch",1,3.32,2.86,0.46
"Halls High School",19,3.73,3.29,0.45
"Fairview High School",10,3.51,3.06,0.45
"Yorkville High School         ",1,3.02,2.57,0.45
"East Hickman High School",5,3.70,3.25,0.45
"Roswell High School           ",2,3.00,2.55,0.45
"Timber Creek High School      ",1,3.89,3.44,0.45
"Home Schooled Student",7,3.90,3.47,0.44
"Brentwood Academy",1,3.19,2.75,0.44
"Pawhuska High School",1,3.87,3.43,0.44
"Cathedral Catholic High School",1,4.00,3.56,0.44
"Milestone College",1,4.00,3.56,0.44
"Shelbyville Central High Sch",11,3.88,3.45,0.43
"Columbia Academy",10,3.90,3.47,0.43
"Sailaway Learning and Academy",2,3.99,3.56,0.43
"Cagaloglu High School",1,3.57,3.14,0.43
"Connections Academy",1,3.05,2.62,0.43
"Peoria Christian",1,3.18,2.75,0.43
"Ronald Reagan High School",1,3.10,2.67,0.43
"Rogers High School            ",1,3.90,3.47,0.43
"Valor Collegiate Academy",1,3.63,3.20,0.43
"Farragut High School",30,3.55,3.14,0.42
"Los Osos",1,3.89,3.47,0.42
"Santa Fe High School",2,3.82,3.41,0.42
"Huntingdon High School",4,3.70,3.28,0.42
"Canon-McMillan Hs             ",1,4.00,3.59,0.41
"Briarcrest Christian School",1,3.91,3.50,0.41
"East Hamilton School",13,3.72,3.32,0.40
"Cocke County High School",3,3.65,3.25,0.40
"Assumption High School        ",1,3.90,3.50,0.40
"Maryville Christian School",2,3.97,3.56,0.40
"Grace Academy",1,3.76,3.36,0.40
"Cherokee High School",8,3.53,3.14,0.39
"Lenoir City High School",42,3.67,3.28,0.39
"North Atlanta High School     ",1,3.79,3.40,0.39
"East Limestone High School    ",1,3.77,3.38,0.39
"Daniel 1 Academy",31,3.73,3.35,0.38
"Liberty Technology Magnet Hs",2,3.56,3.17,0.38
"McEwen High School",4,3.80,3.42,0.38
"Dyer County High School",7,3.89,3.50,0.38
"Mountain Range High School",1,3.82,3.44,0.38
"Heritage International School",1,3.91,3.53,0.38
"Wilson High School            ",1,3.78,3.40,0.38
"Bradford High School",1,3.81,3.43,0.38
"St Colman's College Newry",1,3.30,2.92,0.38
"Sullivan South High School",10,3.97,3.60,0.37
"Coalfield High School",7,3.49,3.12,0.37
"Sumner Co Middle College HS",2,3.41,3.04,0.37
"Tennessee Christian Academy",1,3.31,2.94,0.37
"Craigmont High School",1,4.00,3.63,0.37
"Overton High School",2,3.90,3.54,0.37
"Homelife Academy",8,3.79,3.42,0.37
"Shanghai Datong High School",1,3.36,3.00,0.36
"Loretto High School",2,3.51,3.14,0.36
"Collinwood High School",5,3.65,3.29,0.36
"Clayton-Bradley Academy",3,4.00,3.64,0.36
"West Creek High School",2,3.54,3.18,0.36
"Oak Creek-Franklin High School",1,3.69,3.33,0.36
"Chattanooga Christian School",18,3.53,3.18,0.35
"Signal Mountain High School",14,3.43,3.08,0.35
"Rockwood High School",6,3.74,3.39,0.35
"Midway High School",7,3.69,3.35,0.34
"Plymouth-Salem High School    ",1,3.77,3.43,0.34
"Moore County High School",17,3.77,3.44,0.33
"Patriot High School",1,4.00,3.67,0.33
"International School Of Manila",1,3.48,3.15,0.33
"Tennessee High School",3,3.85,3.53,0.32
"Republic High School",10,3.36,3.04,0.32
"Vinal Technical High School",1,3.70,3.38,0.32
"Crete Monee High School       ",1,3.54,3.23,0.31
"Serrano High School           ",1,3.14,2.83,0.31
"Saint Cecilia Academy",1,3.75,3.44,0.31
"McCallie School",6,3.48,3.18,0.30
"Concord Christian School",2,4.00,3.70,0.30
"Xavier High School",1,3.80,3.50,0.30
"Baylor School",12,3.33,3.04,0.29
"Seymour High School",6,3.82,3.53,0.29
"Northview High School         ",1,3.50,3.21,0.29
"Providence Academy",4,3.93,3.63,0.29
"First Assembly Christian Sch",1,4.00,3.71,0.29
"Kings Academy",3,3.16,2.87,0.29
"Middle College Austin Peay",6,3.73,3.44,0.29
"Baldwyn High School           ",1,4.00,3.71,0.29
"McGehee High School",1,3.60,3.31,0.29
"Franklin County High School   ",1,4.00,3.71,0.29
